from,to,weight,relationship,konfliktpotenzial,timedefinition
has,ku,1,2,99,2
has,ke,1,2,99,2
af,jk,1,2,99,2
jk,jdb,1,2,99,2
jk,adm,1,2,99,2
jk,lb,1,2,99,2
jk,ls,1,2,99,2
jk,rs,1,2,99,2
jk,wj,1,2,99,2
jk,sasa,1,2,99,2
jk,ar,1,2,99,2
jk,ku,1,2,99,2
jk,ke,1,2,99,2
jk,pp,1,2,99,2
af,wj,1,2,99,2
wj,pp,1,2,99,2
wj,sasa,1,2,99,2
wj,ar,1,2,99,2
wj,ku,1,2,99,2
wj,ke,1,2,99,2
af,sasa,2,2,99,2
sasa,pp,1,2,99,2
sasa,ar,1,2,99,2
sasa,ku,1,2,99,2
sasa,ke,1,2,99,2
af,ar,2,2,99,2
ar,pp,1,2,99,2
ar,ku,1,2,99,2
ar,ke,1,2,99,2
ku,af,1,2,1,2
ku,pp,1,2,99,2
ku,ke,1,2,99,2
ke,af,1,2,2,2
ke,pp,1,2,99,2
af,hes,3,2,1,2
hes,ul,1,2,99,2
af,ps,5,2,1,2
af,ef,1,1,4,2
af,of,5,1,2,2
af,mf,5,1,2,2
of,vk,3,3,1,2
of,jok,3,3,1,2
jok,vk,3,3,1,2
of,jv,3,3,1,2
jv,jok,3,3,1,2
jv,vk,3,3,1,2
of,bv,3,3,1,2
bv,jv,5,1,99,2
bv,vk,3,3,1,2
bv,jok,3,3,1,2
of,mg,3,3,1,2
mg,bv,3,3,99,2
mg,jok,3,3,99,2
mg,jv,3,3,99,2
mg,vk,3,3,99,2
of,jg,3,3,99,2
jg,mg,5,1,99,2
jg,vk,3,3,99,2
jg,jv,3,3,99,2
jg,jok,3,3,99,2
bv,jg,3,3,99,2
ck,fp,5,2,99,3
wgvm,vk,2,2,99,4
wgvm,bv,2,2,99,4
wgvm,mg,2,2,99,4
gg,jok,2,99,99,6
wg,jok,2,99,99,6
kasi,jok,2,99,99,6
ta,of,2,2,4,99
laha,vk,1,2,99,5
laha,bv,1,2,99,5
laha,mg,1,2,99,5
behu,bv,5,99,99,99
ge,mg,3,2,99,4
ez,of,2,99,99,5
ez,hvp,2,99,99,5
ez,pvp,2,99,99,5
kl,jg,3,2,99,5
